Name,Phone_1,Location,Area,Governorate,Country,About,URL
Bayader,+966 126439063,"Al Balad Dist., Jeddah,, Al Balad Dist.,, Jeddah,, Makkah Province,, Saudi Arabia",Al Balad Dist.,Makkah Province,Saudi Arabia,,https://arablocal.com/business/view/bayader
Bata Riyadh,+966 14644823,"Riyadh City,, Riyadh,, Riyadh Province,, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"BATA is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",https://arablocal.com/business/view/bata-riyadh
Alharam Center,+966 12440484,"Olaya, North, Olaya, North ,, Ulaya Dist.,, Riyadh,, Riyadh Province,, Saudi Arabia",Olaya,Riyadh Province,Saudi Arabia,"ALHARAM CENTER is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",https://arablocal.com/business/view/alharam-center
Alfaisal Est For Trading And Contracting,+966 6421287,"P.O. Box: 16494 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 16494,Makkah Province,Saudi Arabia,"AL-FAISAL EST.FOR TRADING AND CONTR. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",https://arablocal.com/business/view/alfaisal-est-for-trading-and-contracting
Aynama,+966 12705460,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"AYNAMA is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",https://arablocal.com/business/view/aynama
Bajsair Technical Metal Works Factory,+966 26452069,"Al Madinah Road Intersection Schools Street Front Of Al Faresy Jewelry, Al Baghdadiyah , P.O.Box: 17221, Postal Code: 21484 , Al Baghdadiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Al Madinah Road Intersection Schools Street Front Of Al Faresy Jewelry,Makkah Province,Saudi Arabia,"Bajsair Technical Metal Works Factory is located in Jeddah, Saudi Arabia. Company is working in Gifts, Accessories business activities.",https://arablocal.com/business/view/bajsair-technical-metal-works-factory
